Strategy,Avg Test Edge,Median Test Edge,Positive Windows,Total Windows,Worst Test Edge,Avg Annual Return,Worst Max Drawdown,Avg Exposure,Max Exposure
"Core: Above200+Below20+5D<-2.5%, 1.75x, 5d, Recover20",0.00566681461382465,0.007130894562630163,7,8,-0.040930014180827756,0.1285577474618608,-0.5279198997050543,1.0538143867193337,1.75
"Core: Above200+Below20+5D<-1.5%, 1.25x, 7d, Recover20",0.00552410676122532,0.004578525092415908,7,8,-0.008062439814860545,0.12723950293369649,-0.5106170436877512,1.034820827748422,1.25
"Core: Above200+Below20+5D<-2.5%, 1.50x, 5d, StopBelow200+Recover20",0.005387499081443675,0.006373789825082632,7,8,-0.018858988607955096,0.1271436070615962,-0.5116540821172514,1.0328791274738665,1.5
"Core: Above200+Below20+5D<-3.0%, 1.50x, 7d, StopBelow200",0.005365625993917406,0.006518634205675,7,8,-0.00926156378133669,0.1270211184336142,-0.5052787256653901,1.0326627036533884,1.5
"Core: Above200+Below20+5D<-1.5%, 1.25x, 5d, StopBelow200",0.005165892568751149,0.004306956577049881,7,8,-0.006960534592876266,0.12719160296671975,-0.5130643929416243,1.0372633436657144,1.25
"Core: Above200+Below20+5D<-2.5%, 1.25x, 10d, StopBelow200",0.004616492508811562,0.0036442189573849815,7,8,-0.0014687327301277087,0.1263336103418109,-0.5116856155422699,1.0325190263023887,1.25
"Core: Above200+Below20+5D<-3.0%, 1.50x, 7d, StopBelow200+Recover20",0.004224909215091319,0.003539987872682504,7,8,-0.011982557350387557,0.12548243316960211,-0.5034848056644394,1.0265568656679644,1.5
"Core: Above200+Below20+5D<-2.5%, 1.25x, 10d, Fixed",0.004094689142363245,0.002819665551155315,7,8,-0.004946025625208739,0.12591136680933074,-0.5126030012968723,1.0353415494674318,1.25
"Core: Above200+Below20+5D<-3.0%, 1.25x, 10d, StopBelow200",0.004072105797794559,0.0037968840267377235,7,8,-0.004203421657701822,0.12504585953089664,-0.5075222972688298,1.021165766608454,1.25
"Core: Above200+Below20+5D<-2.5%, 1.25x, 7d, Recover20",0.003992760110841376,0.004852077849085479,7,8,-0.012909423742323067,0.12507956002463397,-0.506668081566277,1.0212723973310032,1.25
"Core: Above200+Below20+5D<-2.5%, 1.50x, 5d, Recover20",0.003939832408448765,0.004875647201566857,7,8,-0.027090607891758323,0.12580202925172723,-0.5193065492755304,1.035876257812889,1.5
"Core: Above200+Below20+5D<-2.5%, 1.25x, 5d, StopBelow200",0.003839214532087562,0.0038351801024025245,7,8,-0.006554853405378536,0.12477068333615057,-0.5095401330383922,1.019050081931251,1.25
"Core: Above200+Below20+5D<-3.0%, 1.25x, 7d, Fixed",0.003748741032890232,0.004938476672187442,7,8,-0.0040884467762545285,0.12454635684978288,-0.50731185527783,1.0181645983401009,1.25
"Core: Above200+Below20+5D<-3.0%, 1.25x, 7d, Recover20",0.003172875148893195,0.0040449995316131915,7,8,-0.008362278883359497,0.12377003108872585,-0.5064201992050651,1.0151116793473889,1.25
"Core: Above200+Below20+5D<-2.5%, 1.25x, 5d, Fixed",0.003133856688647449,0.003353598743219832,7,8,-0.010686756270842368,0.12411917794465452,-0.5133897129473439,1.0205486471007623,1.25
"Core: Above200+Below20+5D<-2.5%, 1.25x, 5d, StopBelow200+Recover20",0.0027544849205265037,0.0032413204322293,7,8,-0.00932278197110148,0.12352315099854323,-0.509540133038392,1.0164395637369332,1.25
"Core: Above200+Below20+5D<-3.0%, 1.25x, 7d, StopBelow200",0.0027526736181553435,0.003303444967548974,7,8,-0.004409538258056012,0.12347218641667747,-0.5058732595832331,1.016331351826694,1.25
"Core: Above200+Below20+5D<-3.0%, 1.25x, 7d, StopBelow200+Recover20",0.0021757268872250324,0.0018444955487719739,7,8,-0.00579001740320062,0.12269458424435131,-0.5049789999718995,1.0132784328339821,1.25
"Core: Above200+Below20+5D<-2.5%, 1.25x, 5d, Recover20",0.0020504131898341355,0.0024981291829976326,7,8,-0.013444582606143118,0.12287307890181931,-0.513389712947344,1.0179381289064446,1.25
"Core: Above200+Below20+5D<-2.0%, 2.00x, 7d, StopBelow200",0.03035825895928118,0.0291364078741152,6,8,-0.003848720800553318,0.15939665977595302,-0.5246489253144679,1.1479909839430673,2.0
"Core: Above200+Below20+5D<-1.5%, 2.00x, 10d, Fixed",0.02978942613439002,0.03800228552673096,6,8,-0.028367284641346968,0.16480838864115832,-0.5390281392633034,1.261140862312498,2.0
"Core: Above200+Below20+5D<-2.0%, 2.00x, 10d, StopBelow200",0.029478747873597833,0.03685629886722419,6,8,-0.012140848926702752,0.16130366338510158,-0.5446378755129794,1.1907075992628542,2.0
"Core: Above200+Below20+5D<-2.0%, 2.00x, 5d, StopBelow200",0.025636431399848114,0.022330456613065208,6,8,-0.014384162482605989,0.152362797517422,-0.5353789792540329,1.1130597523828607,2.0
"Core: Above200+Below20+5D<-2.0%, 2.00x, 5d, Fixed",0.023957085754882368,0.02243852555129222,6,8,-0.03115202134418671,0.1506819566786325,-0.5378539618314351,1.1196807458337326,2.0
"Core: Above200+Below20+5D<-2.0%, 1.75x, 7d, StopBelow200",0.022942047671523746,0.022013684153175728,6,8,-0.002349449924238911,0.14971940736793357,-0.5186509069197989,1.1109932379573002,1.75
"Core: Above200+Below20+5D<-1.5%, 1.75x, 10d, Fixed",0.02269187163535555,0.028624942251246566,6,8,-0.020223913605034616,0.15406354302540004,-0.5294764873021358,1.1958556467343737,1.75
"Core: Above200+Below20+5D<-1.5%, 2.00x, 7d, StopBelow200",0.022422500942007498,0.021443065310665366,6,8,-0.02458580369713137,0.1537573892885401,-0.5449328646232068,1.1911958393246578,2.0
"Core: Above200+Below20+5D<-2.0%, 1.75x, 10d, StopBelow200",0.02233537215667271,0.02778403315978828,6,8,-0.008986919902131851,0.15123970864596986,-0.5330427463037692,1.1430306994471406,1.75
"Core: Above200+Below20+5D<-1.5%, 2.00x, 7d, Recover20",0.02094322103534002,0.01716195148576627,6,8,-0.034347961783619985,0.1482978169179452,-0.5285625920250951,1.1392833109936888,2.0
"Def: Above200+Below20+5D<-2.0%, 1.75x, 7d, Fixed",0.02005813125121611,0.030857102801523983,6,8,-0.08115140486143457,0.14610112622654364,-0.35816662763049667,1.0248425366034248,1.75
"Core: Above200+Below20+5D<-2.0%, 2.00x, 7d, StopBelow200+Recover20",0.01947731647620224,0.019359291635756115,6,8,-0.027169587001697915,0.1452630553849049,-0.5214882090276197,1.1023714686252282,2.0
"Core: Above200+Below20+5D<-2.0%, 1.75x, 5d, StopBelow200",0.01940300729786619,0.016895837632305954,6,8,-0.010198335471226283,0.14442577637532517,-0.5267933982898474,1.0847948142871455,1.75
"Core: Above200+Below20+5D<-1.5%, 2.00x, 10d, Recover20",0.019319402560742396,0.026348523197913087,6,8,-0.0678331655796498,0.1480389404921204,-0.5222148948252716,1.1584951934422616,2.0
"Core: Above200+Below20+5D<-2.0%, 1.75x, 5d, Fixed",0.018205589682401574,0.017056050552082813,6,8,-0.02273191338984515,0.14323198304195528,-0.5286445159261345,1.0897605593752995,1.75
"Def: Above200+Below20+5D<-2.0%, 2.00x, 7d, Recover20",0.017668259437042394,0.03451865931952125,6,8,-0.11228501640360888,0.14269609091043328,-0.35841529387190774,1.0182187537090452,2.0
"Def: Above200+Below20+5D<-1.5%, 2.00x, 10d, Fixed",0.01712781323734827,0.035289949787748576,6,8,-0.08942709041465546,0.15295937240138902,-0.38877610589280187,1.1697108512686023,2.0
"Core: Above200+Below20+5D<-1.5%, 1.75x, 7d, StopBelow200",0.017027205375959475,0.016325398467362917,6,8,-0.01763286404072506,0.14555769973815902,-0.5341102570780407,1.1433968794934932,1.75
"Core: Above200+Below20+5D<-1.5%, 2.00x, 5d, Recover20",0.016890510588482482,0.015344186152266515,6,8,-0.050976564915910405,0.14332663089883735,-0.5357412776789998,1.1219565238356062,2.0
"Def: Above200+Below20+5D<-2.0%, 2.00x, 10d, Fixed",0.016688012699597618,0.020157021306208722,6,8,-0.05594060978669835,0.14911409211905186,-0.3893417723265201,1.112238766188438,2.0
"Core: Above200+Below20+5D<-1.5%, 1.75x, 7d, Recover20",0.015999384489773588,0.01316140846886149,6,8,-0.02524203447017581,0.1415060634788124,-0.521848809777154,1.1044624832452667,1.75
"Core: Above200+Below20+5D<-2.0%, 1.50x, 7d, StopBelow200",0.015407171695582825,0.014780702822345115,6,8,-0.001209346060926153,0.13988629785793083,-0.5126699180638874,1.0739954919715338,1.5
"Core: Above200+Below20+5D<-1.5%, 1.50x, 10d, Fixed",0.015355369949112477,0.0191618513053759,6,8,-0.01277817903460754,0.1429692105292683,-0.5199114592061822,1.130570431156249,1.5
